player_id,player_name,player_country,is_out,runs_made,bowls_faced,is_fifty,is_thirty,fours,sixes,opposition,ground,date,match_format,overs_bowled,runs_conceded,wkts_taken,dismissals
39084, Abdur Rauf ,Pakistan,0,-,-,0,0,-,-,Zimbabwe,King City (NW),12 Oct 2008,T20I # 73,3.0,21,0,0
56283, Abdur Razzak ,Bangladesh,1,0,2,0,0,0,0,Zimbabwe,Khulna,28 Nov 2006,T20I # 9,4.0,17,3,0
56283, Abdur Razzak ,Bangladesh,0,-,-,0,0,-,-,Kenya,Nairobi (Gym),1 Sep 2007,T20I # 17,4.0,22,2,0
398666, SA Abbott ,Australia,0,-,-,0,0,-,-,Pakistan,Dubai (DSC),5 Oct 2014,T20I # 406,3.0,17,1,0
398666, SA Abbott ,Australia,0,-,-,0,0,-,-,South Africa,Melbourne,7 Nov 2014,T20I # 408,2.0,16,0,0
56283, Abdur Razzak ,Bangladesh,0,-,-,0,0,-,-,Pakistan,Nairobi (Gym),2 Sep 2007,T20I # 18,4.0,18,1,0
56283, Abdur Razzak ,Bangladesh,0,-,-,0,0,-,-,West Indies,Johannesburg,13 Sep 2007,T20I # 24,4.0,25,2,0
56283, Abdur Razzak ,Bangladesh,0,2,6,0,0,0,0,South Africa,Cape Town,15 Sep 2007,T20I # 31,4.0,26,2,0
56283, Abdur Razzak ,Bangladesh,0,0,0,0,0,0,0,Australia,Cape Town,16 Sep 2007,T20I # 33,4.0,34,0,0
56283, Abdur Razzak ,Bangladesh,1,5,12,0,0,0,0,Sri Lanka,Johannesburg,18 Sep 2007,T20I # 38,3.0,20,1,0
56283, Abdur Razzak ,Bangladesh,1,0,1,0,0,0,0,Pakistan,Cape Town,20 Sep 2007,T20I # 42,4.0,16,2,0
56283, Abdur Razzak ,Bangladesh,0,1,3,0,0,0,0,Pakistan,Karachi,20 Apr 2008,T20I # 55,4.0,46,1,0
398666, SA Abbott ,Australia,1,5,8,0,0,1,0,South Africa,Sydney,9 Nov 2014,T20I # 409,1.0,14,0,2
398666, SA Abbott ,Australia,0,-,-,0,0,-,-,Pakistan,Perth,8 Nov 2019,T20I # 1009,4.0,14,2,0
398666, SA Abbott ,Australia,0,12,8,0,0,0,1,India,Canberra,4 Dec 2020,T20I # 1114,2.0,23,0,2
398666, SA Abbott ,Australia,0,-,-,0,0,-,-,India,Sydney,6 Dec 2020,T20I # 1115,2.0,17,0,0
398666, SA Abbott ,Australia,0,-,-,0,0,-,-,India,Sydney,8 Dec 2020,T20I # 1116,4.0,49,1,0
398666, SA Abbott ,Australia,1,0,1,0,0,0,0,Pakistan,Lahore,5 Apr 2022,T20I # 1504,4.0,28,1,0
56283, Abdur Razzak ,Bangladesh,1,0,2,0,0,0,0,South Africa,Johannesburg,5 Nov 2008,T20I # 77,3.0,16,4,0
56283, Abdur Razzak ,Bangladesh,0,0,0,0,0,0,0,Ireland,Nottingham,8 Jun 2009,T20I # 96,3.0,18,1,1
56283, Abdur Razzak ,Bangladesh,0,-,-,0,0,-,-,Pakistan,Gros Islet,1 May 2010,T20I # 154,4.0,41,0,1
56283, Abdur Razzak ,Bangladesh,0,3,8,0,0,0,0,Australia,Bridgetown,5 May 2010,T20I # 161,4.0,29,1,0
56283, Abdur Razzak ,Bangladesh,0,1,1,0,0,0,0,West Indies,Mirpur,11 Oct 2011,T20I # 209,4.0,27,2,0
56283, Abdur Razzak ,Bangladesh,1,9,9,0,0,1,0,Pakistan,Mirpur,29 Nov 2011,T20I # 216,4.0,25,1,2
56283, Abdur Razzak ,Bangladesh,0,-,-,0,0,-,-,Ireland,Belfast,18 Jul 2012,T20I # 249,4.0,9,2,1
56283, Abdur Razzak ,Bangladesh,0,-,-,0,0,-,-,Ireland,Belfast,20 Jul 2012,T20I # 250,4.0,30,1,0
39836, Abdul Razzaq ,Pakistan,0,17,7,0,0,4,0,England,Bristol,28 Aug 2006,T20I # 8,4.0,30,3,0
922941, Abdullah Shafique ,Pakistan,0,41,33,0,1,4,1,Zimbabwe,Rawalpindi,10 Nov 2020,T20I # 1107,-,-,-,0
56283, Abdur Razzak ,Bangladesh,0,3,4,0,0,0,0,Ireland,Belfast,21 Jul 2012,T20I # 251,4.0,33,2,2
56283, Abdur Razzak ,Bangladesh,1,1,2,0,0,0,0,Scotland,The Hague,24 Jul 2012,T20I # 252,4.0,32,2,0
56283, Abdur Razzak ,Bangladesh,0,-,-,0,0,-,-,Netherlands,The Hague,25 Jul 2012,T20I # 253,4.0,31,1,1
56283, Abdur Razzak ,Bangladesh,1,2,2,0,0,0,0,Netherlands,The Hague,26 Jul 2012,T20I # 254,4.0,23,2,1
56283, Abdur Razzak ,Bangladesh,0,0,2,0,0,0,0,New Zealand,Pallekele,21 Sep 2012,T20I # 267,4.0,28,2,0
56283, Abdur Razzak ,Bangladesh,0,-,-,0,0,-,-,Pakistan,Pallekele,25 Sep 2012,T20I # 274,4.0,30,0,0
56283, Abdur Razzak ,Bangladesh,0,-,-,0,0,-,-,West Indies,Mirpur,10 Dec 2012,T20I # 291,3.0,32,0,0
56283, Abdur Razzak ,Bangladesh,0,6,8,0,0,0,0,Sri Lanka,Pallekele,31 Mar 2013,T20I # 312,4.0,39,1,0
56283, Abdur Razzak ,Bangladesh,1,2,4,0,0,0,0,Zimbabwe,Bulawayo,11 May 2013,T20I # 315,4.0,35,0,0
56283, Abdur Razzak ,Bangladesh,0,6,6,0,0,0,0,Zimbabwe,Bulawayo,12 May 2013,T20I # 316,4.0,18,2,0
56283, Abdur Razzak ,Bangladesh,1,0,1,0,0,0,0,New Zealand,Mirpur,6 Nov 2013,T20I # 333,2.0,19,1,0
39836, Abdul Razzaq ,Pakistan,1,10,15,0,0,1,0,South Africa,Johannesburg,2 Feb 2007,T20I # 14,2.0,28,0,0
39836, Abdul Razzaq ,Pakistan,1,5,8,0,0,0,0,New Zealand,The Oval,13 Jun 2009,T20I # 107,3.3,17,2,0
39836, Abdul Razzaq ,Pakistan,0,15,9,0,0,0,1,Ireland,The Oval,15 Jun 2009,T20I # 110,3.0,18,0,1
39836, Abdul Razzaq ,Pakistan,0,12,15,0,0,0,0,South Africa,Nottingham,18 Jun 2009,T20I # 114,3.0,19,0,0
39836, Abdul Razzaq ,Pakistan,0,-,-,0,0,-,-,Sri Lanka,Lord's,21 Jun 2009,T20I # 116,3.0,20,3,0
39836, Abdul Razzaq ,Pakistan,0,25,17,0,0,3,0,Sri Lanka,Colombo (RPS),12 Aug 2009,T20I # 118,-,-,-,1
39836, Abdul Razzaq ,Pakistan,0,26,15,0,0,3,1,New Zealand,Dubai (DSC),12 Nov 2009,T20I # 122,3.0,9,2,0
39836, Abdul Razzaq ,Pakistan,1,0,1,0,0,0,0,New Zealand,Dubai (DSC),13 Nov 2009,T20I # 123,-,-,-,0
922941, Abdullah Shafique ,Pakistan,1,0,2,0,0,0,0,New Zealand,Auckland,18 Dec 2020,T20I # 1117,-,-,-,0
922941, Abdullah Shafique ,Pakistan,1,0,2,0,0,0,0,New Zealand,Hamilton,20 Dec 2020,T20I # 1118,-,-,-,0
56283, Abdur Razzak ,Bangladesh,0,-,-,0,0,-,-,Afghanistan,Mirpur,16 Mar 2014,T20I # 366,4.0,20,2,0
56283, Abdur Razzak ,Bangladesh,0,-,-,0,0,-,-,Nepal,Chattogram,18 Mar 2014,T20I # 371,2.0,12,0,1
56283, Abdur Razzak ,Bangladesh,1,0,1,0,0,0,0,Hong Kong,Chattogram,20 Mar 2014,T20I # 375,3.4,31,1,0
56283, Abdur Razzak ,Bangladesh,0,-,-,0,0,-,-,Pakistan,Mirpur,30 Mar 2014,T20I # 392,4.0,20,2,0
56283, Abdur Razzak ,Bangladesh,0,-,-,0,0,-,-,Australia,Mirpur,1 Apr 2014,T20I # 396,2.0,16,0,0
56283, Abdur Razzak ,Bangladesh,0,-,-,0,0,-,-,West Indies,Basseterre,27 Aug 2014,T20I # 404,-,-,-,-
39836, Abdul Razzaq ,Pakistan,1,22,15,0,0,1,1,England,Dubai (DSC),19 Feb 2010,T20I # 144,4.0,24,1,0
39836, Abdul Razzaq ,Pakistan,0,46,18,0,1,0,5,England,Dubai (DSC),20 Feb 2010,T20I # 145,4.0,17,0,0
39836, Abdul Razzaq ,Pakistan,0,6,5,0,0,0,0,Bangladesh,Gros Islet,1 May 2010,T20I # 154,2.0,23,0,0
39836, Abdul Razzaq ,Pakistan,1,1,2,0,0,0,0,Australia,Gros Islet,2 May 2010,T20I # 156,-,-,-,0
39836, Abdul Razzaq ,Pakistan,1,10,9,0,0,0,1,England,Bridgetown,6 May 2010,T20I # 163,3.0,22,1,0
39836, Abdul Razzaq ,Pakistan,1,29,29,0,0,1,3,New Zealand,Bridgetown,8 May 2010,T20I # 167,-,-,-,0
39836, Abdul Razzaq ,Pakistan,0,11,10,0,0,0,0,South Africa,Gros Islet,10 May 2010,T20I # 171,3.0,16,1,0
297583, KJ Abbott ,South Africa,1,2,2,0,0,0,0,Pakistan,Centurion,3 Mar 2013,T20I # 306,4.0,41,1,0
39836, Abdul Razzaq ,Pakistan,1,12,7,0,0,0,1,Australia,Gros Islet,14 May 2010,T20I # 176,2.0,22,0,0
39836, Abdul Razzaq ,Pakistan,1,7,11,0,0,0,0,Australia,Birmingham,5 Jul 2010,T20I # 184,2.0,15,1,0
39836, Abdul Razzaq ,Pakistan,1,3,3,0,0,0,0,Australia,Birmingham,6 Jul 2010,T20I # 185,-,-,-,0
39836, Abdul Razzaq ,Pakistan,0,-,-,0,0,-,-,England,Cardiff,5 Sep 2010,T20I # 186,2.0,20,0,0
39836, Abdul Razzaq ,Pakistan,1,11,20,0,0,1,0,England,Cardiff,7 Sep 2010,T20I # 187,-,-,-,0
39836, Abdul Razzaq ,Pakistan,1,4,5,0,0,0,0,South Africa,Abu Dhabi,26 Oct 2010,T20I # 190,2.0,20,0,0
39836, Abdul Razzaq ,Pakistan,1,25,29,0,0,0,2,South Africa,Abu Dhabi,27 Oct 2010,T20I # 191,-,-,-,0
39836, Abdul Razzaq ,Pakistan,1,1,5,0,0,0,0,New Zealand,Auckland,26 Dec 2010,T20I # 193,1.0,15,0,0
39836, Abdul Razzaq ,Pakistan,1,14,8,0,0,0,2,New Zealand,Hamilton,28 Dec 2010,T20I # 194,2.0,12,1,0
297583, KJ Abbott ,South Africa,0,-,-,0,0,-,-,Australia,Durban,12 Mar 2014,T20I # 363,1.0,5,1,1
297583, KJ Abbott ,South Africa,0,-,-,0,0,-,-,Australia,Adelaide,5 Nov 2014,T20I # 407,4.0,21,3,0
297583, KJ Abbott ,South Africa,0,2,2,0,0,0,0,Australia,Melbourne,7 Nov 2014,T20I # 408,2.0,17,0,2
297583, KJ Abbott ,South Africa,0,-,-,0,0,-,-,Australia,Sydney,9 Nov 2014,T20I # 409,3.5,20,1,0
297583, KJ Abbott ,South Africa,0,-,-,0,0,-,-,West Indies,Cape Town,9 Jan 2015,T20I # 413,4.0,30,0,2
297583, KJ Abbott ,South Africa,1,2,2,0,0,0,0,West Indies,Johannesburg,11 Jan 2015,T20I # 414,4.0,68,1,0
297583, KJ Abbott ,South Africa,0,-,-,0,0,-,-,West Indies,Durban,14 Jan 2015,T20I # 415,3.0,14,0,1
297583, KJ Abbott ,South Africa,0,-,-,0,0,-,-,Bangladesh,Mirpur,5 Jul 2015,T20I # 428,2.0,10,1,0
39836, Abdul Razzaq ,Pakistan,0,34,11,0,1,3,3,New Zealand,Christchurch,30 Dec 2010,T20I # 195,4.0,13,3,0
39836, Abdul Razzaq ,Pakistan,0,-,-,0,0,-,-,Australia,Dubai (DSC),5 Sep 2012,T20I # 256,-,-,-,0
39836, Abdul Razzaq ,Pakistan,0,2,2,0,0,0,0,Australia,Dubai (DSC),7 Sep 2012,T20I # 257,1.0,9,2,0
39836, Abdul Razzaq ,Pakistan,1,13,27,0,0,1,0,Australia,Dubai (DSC),10 Sep 2012,T20I # 259,2.0,12,0,0
39836, Abdul Razzaq ,Pakistan,1,22,17,0,0,2,1,Australia,Colombo (RPS),2 Oct 2012,T20I # 285,-,-,-,0
39836, Abdul Razzaq ,Pakistan,1,10,16,0,0,1,0,South Africa,Dubai (DSC),13 Nov 2013,T20I # 334,-,-,-,0
39836, Abdul Razzaq ,Pakistan,1,0,1,0,0,0,0,South Africa,Dubai (DSC),15 Nov 2013,T20I # 336,1.0,14,0,0
297583, KJ Abbott ,South Africa,0,-,-,0,0,-,-,Bangladesh,Mirpur,7 Jul 2015,T20I # 429,3.2,20,3,0
297583, KJ Abbott ,South Africa,0,-,-,0,0,-,-,New Zealand,Durban,14 Aug 2015,T20I # 451,4.0,27,0,0
297583, KJ Abbott ,South Africa,0,9,8,0,0,1,0,New Zealand,Centurion,16 Aug 2015,T20I # 452,4.0,44,0,1
297583, KJ Abbott ,South Africa,0,-,-,0,0,-,-,India,Dharamsala,2 Oct 2015,T20I # 456,4.0,29,2,0
297583, KJ Abbott ,South Africa,0,-,-,0,0,-,-,India,Cuttack,5 Oct 2015,T20I # 457,3.0,21,0,0
297583, KJ Abbott ,South Africa,0,2,2,0,0,0,0,England,Cape Town,19 Feb 2016,T20I # 503,4.0,31,2,0
297583, KJ Abbott ,South Africa,0,-,-,0,0,-,-,England,Johannesburg,21 Feb 2016,T20I # 506,4.0,26,3,0
297583, KJ Abbott ,South Africa,0,6,4,0,0,1,0,Australia,Durban,4 Mar 2016,T20I # 519,4.0,32,1,0
297583, KJ Abbott ,South Africa,0,-,-,0,0,-,-,Australia,Cape Town,9 Mar 2016,T20I # 526,3.2,32,0,0
297583, KJ Abbott ,South Africa,0,-,-,0,0,-,-,England,Wankhede,18 Mar 2016,T20I # 540,3.4,41,3,0
297583, KJ Abbott ,South Africa,0,-,-,0,0,-,-,Afghanistan,Wankhede,20 Mar 2016,T20I # 542,4.0,36,2,0
297583, KJ Abbott ,South Africa,0,-,-,0,0,-,-,Sri Lanka,Delhi,28 Mar 2016,T20I # 554,3.3,14,2,0
224367, YA Abdulla ,South Africa,0,-,-,0,0,-,-,Australia,Centurion,29 Mar 2009,T20I # 88,3.0,16,1,0
224367, YA Abdulla ,South Africa,0,-,-,0,0,-,-,England,Centurion,15 Nov 2009,T20I # 125,4.0,28,1,0
373439, Abul Hasan ,Bangladesh,0,-,-,0,0,-,-,Ireland,Belfast,18 Jul 2012,T20I # 249,3.0,27,0,0
373439, Abul Hasan ,Bangladesh,0,-,-,0,0,-,-,Ireland,Belfast,20 Jul 2012,T20I # 250,2.0,16,0,0
373439, Abul Hasan ,Bangladesh,1,9,8,0,0,1,0,Scotland,The Hague,24 Jul 2012,T20I # 252,3.0,32,0,0
373439, Abul Hasan ,Bangladesh,0,-,-,0,0,-,-,Pakistan,Pallekele,25 Sep 2012,T20I # 274,3.0,33,2,0
373439, Abul Hasan ,Bangladesh,1,5,3,0,0,1,0,Afghanistan,Dehradun,3 Jun 2018,T20I # 667,3.0,40,2,0
410763, Abu Jayed ,Bangladesh,1,2,3,0,0,0,0,Sri Lanka,Sylhet,18 Feb 2018,T20I # 651,4.0,45,1,0
410763, Abu Jayed ,Bangladesh,1,1,4,0,0,0,0,Afghanistan,Dehradun,3 Jun 2018,T20I # 667,3.0,34,1,1
410763, Abu Jayed ,Bangladesh,0,-,-,0,0,-,-,Afghanistan,Dehradun,7 Jun 2018,T20I # 669,4.0,27,2,0
550137, Abu Hider ,Bangladesh,0,-,-,0,0,-,-,Zimbabwe,Khulna,20 Jan 2016,T20I # 482,4.0,40,2,0
550137, Abu Hider ,Bangladesh,1,14,10,0,0,1,1,Zimbabwe,Khulna,22 Jan 2016,T20I # 484,4.0,33,1,0
550137, Abu Hider ,Bangladesh,0,-,-,0,0,-,-,India,Mirpur,6 Mar 2016,T20I # 521,1.0,14,0,0
550137, Abu Hider ,Bangladesh,0,-,-,0,0,-,-,Ireland,Dharamsala,11 Mar 2016,T20I # 530,-,-,-,-
550137, Abu Hider ,Bangladesh,0,-,-,0,0,-,-,Oman,Dharamsala,13 Mar 2016,T20I # 534,2.0,15,0,0
550137, Abu Hider ,Bangladesh,0,0,0,0,0,0,0,India,Colombo (RPS),14 Mar 2018,T20I # 660,4.0,43,0,0
550137, Abu Hider ,Bangladesh,0,21,14,0,0,1,2,Afghanistan,Dehradun,5 Jun 2018,T20I # 668,3.0,14,1,0
550137, Abu Hider ,Bangladesh,0,-,-,0,0,-,-,Afghanistan,Dehradun,7 Jun 2018,T20I # 669,4.0,31,0,0
550137, Abu Hider ,Bangladesh,0,-,-,0,0,-,-,West Indies,Lauderhill,4 Aug 2018,T20I # 693,4.0,26,0,0
550137, Abu Hider ,Bangladesh,0,-,-,0,0,-,-,West Indies,Lauderhill,5 Aug 2018,T20I # 694,3.0,27,1,1
550137, Abu Hider ,Bangladesh,0,1,2,0,0,0,0,West Indies,Sylhet,17 Dec 2018,T20I # 715,1.0,15,0,0
550137, Abu Hider ,Bangladesh,0,-,-,0,0,-,-,West Indies,Mirpur,20 Dec 2018,T20I # 716,4.0,33,1,0
39091, Abdur Rehman ,Pakistan,0,4,5,0,0,0,0,South Africa,Johannesburg,2 Feb 2007,T20I # 14,3.0,36,0,0
39091, Abdur Rehman ,Pakistan,0,-,-,0,0,-,-,Kenya,Nairobi (Gym),4 Sep 2007,T20I # 19,3.0,7,2,1
39091, Abdur Rehman ,Pakistan,1,2,3,0,0,0,0,New Zealand,Bridgetown,8 May 2010,T20I # 167,3.0,19,2,2
935995, Afif Hossain ,Bangladesh,1,0,2,0,0,0,0,Sri Lanka,Mirpur,15 Feb 2018,T20I # 648,2.0,26,1,1
550137, Abu Hider ,Bangladesh,0,22,17,0,0,3,1,West Indies,Mirpur,22 Dec 2018,T20I # 717,2.0,39,0,1
39091, Abdur Rehman ,Pakistan,0,2,1,0,0,0,0,South Africa,Gros Islet,10 May 2010,T20I # 171,4.0,35,2,0
39091, Abdur Rehman ,Pakistan,0,-,-,0,0,-,-,Australia,Gros Islet,14 May 2010,T20I # 176,4.0,33,2,2
39091, Abdur Rehman ,Pakistan,0,-,-,0,0,-,-,New Zealand,Christchurch,30 Dec 2010,T20I # 195,4.0,22,1,0
39091, Abdur Rehman ,Pakistan,1,7,8,0,0,0,0,West Indies,Gros Islet,21 Apr 2011,T20I # 199,4.0,22,2,1
39091, Abdur Rehman ,Pakistan,0,7,12,0,0,0,0,South Africa,Dubai (DSC),13 Nov 2013,T20I # 334,1.0,18,0,0
935995, Afif Hossain ,Bangladesh,1,52,26,1,0,8,1,Zimbabwe,Mirpur,13 Sep 2019,T20I # 881,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,16,14,0,0,2,0,Afghanistan,Mirpur,15 Sep 2019,T20I # 883,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,7,8,0,0,0,0,Zimbabwe,Chattogram,18 Sep 2019,T20I # 886,-,-,-,1
935995, Afif Hossain ,Bangladesh,1,2,4,0,0,0,0,Afghanistan,Chattogram,21 Sep 2019,T20I # 892,3.0,9,2,0
935995, Afif Hossain ,Bangladesh,0,-,-,0,0,-,-,India,Delhi,3 Nov 2019,T20I # 1000,3.0,11,1,1
935995, Afif Hossain ,Bangladesh,1,6,8,0,0,0,0,India,Rajkot,7 Nov 2019,T20I # 1007,1.0,13,0,0
935995, Afif Hossain ,Bangladesh,1,0,1,0,0,0,0,India,Nagpur,10 Nov 2019,T20I # 1014,1.0,20,0,0
935995, Afif Hossain ,Bangladesh,1,9,10,0,0,0,0,Pakistan,Lahore,24 Jan 2020,T20I # 1032,1.0,6,0,0
935995, Afif Hossain ,Bangladesh,1,21,20,0,0,1,1,Pakistan,Lahore,25 Jan 2020,T20I # 1033,1.0,16,0,0
935995, Afif Hossain ,Bangladesh,0,-,-,0,0,-,-,Zimbabwe,Mirpur,9 Mar 2020,T20I # 1082,2.0,18,1,0
935995, Afif Hossain ,Bangladesh,0,-,-,0,0,-,-,Zimbabwe,Mirpur,11 Mar 2020,T20I # 1084,1.0,2,1,0
935995, Afif Hossain ,Bangladesh,1,45,33,0,1,5,1,New Zealand,Hamilton,28 Mar 2021,T20I # 1139,-,-,-,1
935995, Afif Hossain ,Bangladesh,1,2,4,0,0,0,0,New Zealand,Napier,30 Mar 2021,T20I # 1140,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,8,6,0,0,0,1,New Zealand,Auckland,1 Apr 2021,T20I # 1141,-,-,-,1
935995, Afif Hossain ,Bangladesh,0,-,-,0,0,-,-,Zimbabwe,Harare,22 Jul 2021,T20I # 1196,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,24,25,0,0,1,1,Zimbabwe,Harare,23 Jul 2021,T20I # 1198,-,-,-,1
935995, Afif Hossain ,Bangladesh,1,14,5,0,0,0,2,Zimbabwe,Harare,25 Jul 2021,T20I # 1203,-,-,-,1
935995, Afif Hossain ,Bangladesh,1,23,17,0,0,3,0,Australia,Mirpur,3 Aug 2021,T20I # 1210,-,-,-,1
935995, Afif Hossain ,Bangladesh,0,37,31,0,1,5,1,Australia,Mirpur,4 Aug 2021,T20I # 1212,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,19,13,0,0,1,1,Australia,Mirpur,6 Aug 2021,T20I # 1216,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,20,17,0,0,0,1,Australia,Mirpur,7 Aug 2021,T20I # 1218,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,10,11,0,0,0,1,Australia,Mirpur,9 Aug 2021,T20I # 1222,-,-,-,0
935995, Afif Hossain ,Bangladesh,0,-,-,0,0,-,-,New Zealand,Mirpur,1 Sep 2021,T20I # 1243,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,3,3,0,0,0,0,New Zealand,Mirpur,3 Sep 2021,T20I # 1251,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,0,1,0,0,0,0,New Zealand,Mirpur,5 Sep 2021,T20I # 1258,-,-,-,0
935995, Afif Hossain ,Bangladesh,0,6,10,0,0,0,0,New Zealand,Mirpur,8 Sep 2021,T20I # 1260,-,-,-,0
935995, Afif Hossain ,Bangladesh,0,49,33,0,1,2,3,New Zealand,Mirpur,10 Sep 2021,T20I # 1263,3.0,18,1,0
935995, Afif Hossain ,Bangladesh,1,18,12,0,0,2,0,Scotland,Al Amerat,17 Oct 2021,T20I # 1311,1.0,10,0,1
935995, Afif Hossain ,Bangladesh,1,1,5,0,0,0,0,Oman,Al Amerat,19 Oct 2021,T20I # 1322,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,21,14,0,0,3,0,P.N.G.,Al Amerat,21 Oct 2021,T20I # 1334,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,7,6,0,0,1,0,Sri Lanka,Sharjah,24 Oct 2021,T20I # 1357,1.0,15,0,0
935995, Afif Hossain ,Bangladesh,1,5,6,0,0,1,0,England,Abu Dhabi,27 Oct 2021,T20I # 1369,-,-,-,0
935995, Afif Hossain ,Bangladesh,0,2,2,0,0,0,0,West Indies,Sharjah,29 Oct 2021,T20I # 1375,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,0,1,0,0,0,0,South Africa,Abu Dhabi,2 Nov 2021,T20I # 1384,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,0,4,0,0,0,0,Australia,Dubai (DSC),4 Nov 2021,T20I # 1391,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,36,34,0,1,2,2,Pakistan,Mirpur,19 Nov 2021,T20I # 1439,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,20,21,0,0,1,1,Pakistan,Mirpur,20 Nov 2021,T20I # 1443,1.0,6,0,0
935995, Afif Hossain ,Bangladesh,1,20,21,0,0,0,2,Pakistan,Mirpur,22 Nov 2021,T20I # 1447,-,-,-,0
935995, Afif Hossain ,Bangladesh,1,25,24,0,0,2,0,Afghanistan,Mirpur,3 Mar 2022,T20I # 1495,-,-,-,2
935995, Afif Hossain ,Bangladesh,1,7,9,0,0,1,0,Afghanistan,Mirpur,5 Mar 2022,T20I # 1496,-,-,-,0
434429, Aamer Yamin ,Pakistan,0,-,-,0,0,-,-,England,Sharjah,30 Nov 2015,T20I # 473,2.0,12,1,0
434429, Aamer Yamin ,Pakistan,0,15,6,0,0,1,1,New Zealand,Mount Maunganui,28 Jan 2018,T20I # 641,4.0,25,1,0
26184, AB Agarkar ,India,0,-,-,0,0,-,-,South Africa,Johannesburg,1 Dec 2006,T20I # 10,2.3,10,2,0
26184, AB Agarkar ,India,0,-,-,0,0,-,-,Scotland,Durban,13 Sep 2007,T20I # 26,-,-,-,-
26184, AB Agarkar ,India,1,14,9,0,0,2,0,Pakistan,Durban,14 Sep 2007,T20I # 29,4.0,35,1,0
26184, AB Agarkar ,India,1,1,2,0,0,0,0,New Zealand,Johannesburg,16 Sep 2007,T20I # 32,4.0,40,0,0
942645, KK Ahmed ,India,0,-,-,0,0,-,-,West Indies,Kolkata,4 Nov 2018,T20I # 707,4.0,16,1,0
942645, KK Ahmed ,India,0,-,-,0,0,-,-,West Indies,Lucknow,6 Nov 2018,T20I # 709,4.0,30,2,0
942645, KK Ahmed ,India,0,-,-,0,0,-,-,West Indies,Chennai,11 Nov 2018,T20I # 710,4.0,37,0,0
942645, KK Ahmed ,India,0,-,-,0,0,-,-,Australia,Brisbane,21 Nov 2018,T20I # 712,3.0,42,1,1
942645, KK Ahmed ,India,0,-,-,0,0,-,-,Australia,Melbourne,23 Nov 2018,T20I # 713,4.0,39,2,0
942645, KK Ahmed ,India,0,-,-,0,0,-,-,Australia,Sydney,25 Nov 2018,T20I # 714,4.0,35,0,0
942645, KK Ahmed ,India,0,1,1,0,0,0,0,New Zealand,Wellington,6 Feb 2019,T20I # 735,4.0,48,1,1
942645, KK Ahmed ,India,0,-,-,0,0,-,-,New Zealand,Auckland,8 Feb 2019,T20I # 737,4.0,27,2,0
942645, KK Ahmed ,India,0,-,-,0,0,-,-,New Zealand,Hamilton,10 Feb 2019,T20I # 738,4.0,47,1,0
942645, KK Ahmed ,India,0,-,-,0,0,-,-,West Indies,Lauderhill,3 Aug 2019,T20I # 842,2.0,8,1,1
942645, KK Ahmed ,India,0,-,-,0,0,-,-,West Indies,Lauderhill,4 Aug 2019,T20I # 843,3.0,22,0,0
942645, KK Ahmed ,India,0,-,-,0,0,-,-,Bangladesh,Delhi,3 Nov 2019,T20I # 1000,4.0,37,1,0
348146, Ahsan Ali ,Pakistan,1,36,32,0,1,4,0,Bangladesh,Lahore,24 Jan 2020,T20I # 1032,-,-,-,0
348146, Ahsan Ali ,Pakistan,1,0,7,0,0,0,0,Bangladesh,Lahore,25 Jan 2020,T20I # 1033,-,-,-,0
942645, KK Ahmed ,India,0,-,-,0,0,-,-,Bangladesh,Rajkot,7 Nov 2019,T20I # 1007,4.0,44,1,0
942645, KK Ahmed ,India,0,-,-,0,0,-,-,Bangladesh,Nagpur,10 Nov 2019,T20I # 1014,4.0,27,0,0
505120, AC Agar ,Australia,0,-,-,0,0,-,-,South Africa,Johannesburg,6 Mar 2016,T20I # 520,2.0,25,1,1
505120, AC Agar ,Australia,1,9,8,0,0,0,1,New Zealand,Dharamsala,18 Mar 2016,T20I # 539,1.0,18,0,2
505120, AC Agar ,Australia,0,-,-,0,0,-,-,New Zealand,Sydney,3 Feb 2018,T20I # 642,4.0,22,1,0
505120, AC Agar ,Australia,0,-,-,0,0,-,-,England,Hobart,7 Feb 2018,T20I # 645,3.0,15,2,2
505120, AC Agar ,Australia,0,-,-,0,0,-,-,England,Melbourne,10 Feb 2018,T20I # 646,4.0,27,0,1
505120, AC Agar ,Australia,0,-,-,0,0,-,-,New Zealand,Auckland,16 Feb 2018,T20I # 649,3.0,24,1,0
505120, AC Agar ,Australia,1,2,5,0,0,0,0,New Zealand,Auckland,21 Feb 2018,T20I # 653,4.0,27,3,1
